file_1,file_2,code_similarity_percent
D:\python\B_H_Duong\BTNC\BTNC_AI_1\ai_code_app.py,D:\python\B_H_Duong\BTNC\BTNC_AI_2\main.py,56.73
D:\python\B_H_Duong\BTNC\BTNC_AI_1\ai_code_app.py,D:\python\B_H_Duong\BTNC\BTNC_AI_2\ai_handler.py,16.67
